"","Viral_Species","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.61","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.71","Vogue1A.01.74","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.77","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.101","Vogue1A.01.106","Total_Reads"
"706","1208587",0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"718","1235314",5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"726","1247379",0,0,2,0,0,0,0,0,0,0,1,6,6,0,1,1,1,0,1,0,6,25
"728","1264700",0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,38
"729","1273087",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
"730","1273450",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,26
"736","1278246",3,0,0,0,0,2,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,10
"740","1278254",2,0,0,4,0,2,1,0,0,0,0,0,6,1,0,2,1,0,0,0,0,19
"741","1278261",0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,8
"744","1279082",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
"745","1279083",1,0,16,9,4,0,3,19,0,3,0,110,283,0,10,570,6,4,10,0,16,1064
"748","1285382",7,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,35,0,46
"752","1289596",0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"753","1289597",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6
"758","1296660",0,6,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,9
"759","1298531",0,0,0,1,0,0,2,2,0,0,2,0,0,1,0,0,1,0,0,0,0,9
"763","1307956",0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4
