"","Viral_Species","Vogue1B.01.01","Vogue1B.01.03","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.27","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.48","Vogue1B.01.51","Vogue1B.01.52","Total_Reads"
"267","150546",0,5,0,0,0,0,1,4,0,1,0,0,0,0,0,0,6,0,0,1,0,471,0,0,0,489
"268","151340",229,301,20,17,30,1457,2094,489,1261,48,32,45,171966,449,80,32,74240,728,53,73932,120,101030,62,18,17,428750
"269","151599",0,0,0,0,13,0,0,0,2,0,1,0,4,7,0,53,0,12,0,0,0,0,0,0,0,92
"271","153135",0,0,0,4,0,0,2,0,1,0,2181,1,0,1,0,5,0,6,0,0,3,1,0,0,0,2205
"273","158683",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
"278","171370",0,0,0,0,0,0,4,1,0,0,0,0,739,0,0,0,0,0,0,0,0,273,0,0,0,1017
"279","172667",0,1,0,4,0,2,0,1,3,0,0,0,1,0,0,0,0,0,56,1,0,0,0,0,0,69
"282","180230",0,2,0,0,0,8,0,0,0,0,0,1,0,0,1,0,0,1,4,6,1,0,1,0,0,25
"283","181083",0,1,0,0,0,0,2,4,0,0,4,1,0,0,0,2,0,1,0,1,1,0,1,328,3,349
"285","181212",0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
"287","181216",0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,8
"290","186616",0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"291","186617",6,1,0,5,2,1,18,12,1,0,3,4,40,4780,3,0,4,0,0,0,0,9,1,11,0,4901
"292","186764",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24
"294","187397",0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,6
"297","192584",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"299","196894",384,289,0,99,314,361,12,211,163,326,39,5,81,638,9,1963,128,7251,2952,103,292,34,1,5,0,15660
"300","196895",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3
"301","196896",528,0,0,0,0,0,0,21,0,0,0,0,1,1,0,0,2,7,0,0,1,0,0,47,0,608
"304","202250",21,46,27,31,37,109,137,23,17,4,31,68,23,55,47,28,127,59,47,47,26,2897,42,27,0,3976
"305","202252",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,172,0,0,0,179
"317","235201",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"323","251749",3,6,2,4,9,2,0,5,8,0,0,3,3,0,10,0,1,4,1,5,0,1,13,0,3,83
"324","255431",2,0,0,16,13,5,0,24,9,14,2,0,0,5,0,32,3,120,171,2,0,0,0,0,0,418
"331","265522",0,2,0,0,0,2,0,0,0,0,0,3,0,0,5,0,2,2,1,12,0,0,0,0,0,29
"335","278008",0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,15
"336","279006",0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,13,0,0,0,0,31
"337","279280",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8
"342","294382",0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,797,0,0,0,0,1,0,0,802
"344","298338",14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16
"347","306552",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"348","307454",0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4
"355","317878",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3
"359","318569",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"361","320836",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8
"362","320839",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"363","320840",4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,1,23,0,39
"365","320846",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"366","322019",0,4,0,0,9,2,0,0,3,0,0,10,1,1,5,19,4,0,2,4,1,0,20,0,0,85
"370","329157",0,1,0,2,3,1,1,2,0,1,1,0,2,0,1,41,1,27,85,2,3,7,0,0,1,182
"371","329380",1,0,0,0,0,0,88,0,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,95
"372","331278",2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,9
"374","333750",0,0,0,0,0,0,1,0,0,0,0,2,128,3,0,0,3,1,0,4,0,130,0,0,0,272
"375","333753",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,421,0,0,0,426
"376","333754",3,7,1,4,0,21,14,3,1,12,8,8,752,1861,22,4,3,1,7,17,55,63771,2,1,0,66578
"377","333757",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,67,0,0,0,68
"378","333759",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,14
"380","333761",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,45,0,0,0,244
"381","333763",1,0,0,0,1,67,0,0,0,0,0,1,6079,1,0,0,0,0,0,1,4,0,0,0,0,6155
"383","333765",1,0,0,0,0,0,1,1,0,2,1,1,4,2,0,0,1,0,0,0,1,13,0,0,0,28
"384","333766",523,0,0,0,0,0,1,0,27,0,0,0,1,0,0,0,0,7,0,0,0,23,0,0,0,582
"385","333767",1,9,1,1,4,1,29,8,1,0,4,6,106,59,9,3,29043,0,7,10,5,2208,4,0,1,31520
"386","333769",1,0,2,1,0,0,0,1,1,0,0,1,2,0,0,0,1,1,4,1,1,1675,1,0,0,1693
"387","333770",3,7,1,5,6,4,7,167,5,26,7,20,47,23,53,12,26,5,24,144,138,177685,12,2,0,178429
"388","333771",0,0,0,1,0,1,1,41,1,2,0,0,417,751,7,0,22,117,2,2803,15,12610,519,0,0,17310
"389","333772",1,0,0,1,0,3,15638,5,3,2,0,1,2,2,2,0,13,7,0,9,7,9032,0,2,0,24730
"390","333924",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,18,0,0,0,0,20
"392","334210",7,12,7,10,19,114,6,26,5,7,38,25,63,18,135,24,346351,1645,44,49,20,11051,35,10,0,359721
"394","334523",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,1,0,0,1,31
"396","337039",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8,0,0,0,10
"397","337041",0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4
"398","337042",0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,1,0,1,0,0,0,0,0,0,39
"399","337043",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,0,0,0,8
"401","337050",6,2,5,4,3,1,2,3,0,4,3,6,72252,6,4,2,5,1,5,2,18,6,3,2,5,72350
"402","337051",0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,1,24,0,0,0,0,0,0,0,31
"403","338323",0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,22
"405","338326",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,6
"406","338327",0,1,0,0,0,0,36,0,0,0,0,0,2,0,1,0,0,2,0,1,0,364,1,0,0,408
"407","338473",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,18
"408","340016",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
"410","342409",1,0,0,0,1,12,0,0,1,7,1,0,0,1,0,0,0,50,0,1,0,0,5,0,0,80
"414","346673",16,61,56,49,173,44,0,19,48,26,4,35,9,7,62,32,45,62,64,96,8,3,109,7,47,1082
"416","346932",1,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"417","350104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,1,0,0,0,24
"418","359919",0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"419","360397",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6
"420","363555",1,118,0,0,0,231,0,0,0,0,8,0,0,1,0,0,19,11,37,0,0,0,27,0,0,453
"421","363628",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
