"","Viral_Species","Vogue1A.01.61","Vogue1A.01.106","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.71","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.74","Vogue1A.01.77","Vogue1A.01.101"
"184",196896,0,1,0,0,0,5,0,8,104,0,133,8,0,0,0,0,0,0,0,0,0
"185",202250,56,29,64,3,64,46,188,46,51,1025696,47,49,35,43,70,51,59,60,38,91,52
"186",202252,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"187",208013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"188",208973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"189",216370,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"190",217733,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
"191",230871,1,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,1,0,0
"192",235201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
"193",236210,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"194",236244,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"195",251749,11,5,2,0,3,9,1,2,6,1,51,5,1,9,3,2,6,1,3,2,6
"196",255431,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"197",260149,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198",260717,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"199",262177,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"200",265522,2,4,5,0,0,3,0,0,0,0,0,3,0,1,2,0,2,0,1,2,6
