Viral_Species,1,2,3,4,5,6,7
Mesorhizobium phage vB_MloP_Lo5R7ANS, .  , .  , .  , .  , .  , .  , .  
Microbacterium phage Min1, .  , .  , .  , .  , .  , .  , .  
Micromonas pusilla virus 12T, .  , .  , .  , .  , .  , .  , .  
Mimiviridae, .  , .  , .  , .  , .  , .  , .  
Miniopterus schreibersii papillomavirus 1, .  , .  , .  , .  , .  , .  , .  
Molluscum contagiosum virus, .  , .  , .  , .  , .  , .  , .  
Molluscum contagiosum virus subtype 1, .  , .  , .  , .  , .  , .  , .  
Mosquito VEM virus SDBVL G, .  , .  , .  , .  , .  , .  , .  
Moumouvirus, .  , .  , .  , .  , .  , .  , .  
Moumouvirus goulette, .  , .  , .  , .  , .  , .  , .  
Moumouvirus Monve, .  , .  , .  , .  , .  , .  , .  
Murid herpesvirus 1, .  , .  , .  , .  , .  , .  , .  
Murine leukemia virus, .  , .  , .  , .  , .  , .  , .  
Musca domestica salivary gland hypertrophy virus, .  , .  , .  , .  , .  , .  , .  
Mycobacterium phage 40AC, .  , .  , .  , .  , .  , .  , .  
Mycobacterium phage Estave1, .  , .  , .  , .  , .  , .  , .  
Mycobacterium phage Gaia, .  , .  , .  , .  , .  , .  , .  
Mycobacterium phage Goose, .  , .  , .  , .  , .  , .  , .  
Mycobacterium phage Hamulus, .  , .  , .  , .  , .  , .  , .  
Mycobacterium phage Luchador, .  , .  , .  , .  , .  , .  , .  
Mycobacterium phage PhrostyMug, .  , .  , .  , .  , .  , .  , .  
Mycobacterium phage Pukovnik, .  , .  , .  , .  , .  , .  , .  
Mycobacterium phage Sheen, .  , .  , .  , .  , .  , .  , .  
Mycobacterium phage Thibault, .  , .  , .  , .  , .  , .  , .  
Mycobacterium phage Yoshi, .  , .  , .  , .  , .  , .  , .  
Mycoplasma phage P1, .  , .  , .  , .  , .  , .  , .  
Nilaparvata lugens endogenous nudivirus, .  , .  , .  , .  , .  , .  , .  
Nile crocodilepox virus Zimbabwe/Ume/2001, .  , .  , .  , .  , .  , .  , .  
Orf virus, .  , .  , .  , .  , .  , .  , .  
Organic Lake phycodnavirus 2, .  , .  , .  , .  , .  , .  , .  
Orgyia leucostigma NPV, .  , .  , .  , .  , .  , .  , .  
Ovine herpesvirus 2, .  , .  , .  , .  , .  , .  , .  
Paenibacillus phage PG1, .  , .  , .  , .  , .  , .  , .  
Pandoravirus dulcis, .  , .  , .  , .  , .  , .  , .  
Pandoravirus inopinatum, .  , .  , .  , .  , .  , .  , .  
Pandoravirus salinus, .  , .  , .  , .  , .  , .  , .  
Papiine herpesvirus 1, .  , .  , .  , .  , .  , .  , .  
Papillomaviridae,2119.71, .  ,100605, .  ,171966, .  ,101030
Papio hamadryas papillomavirus type 1, .  , .  , .  , .  , .  , .  , .  
Paramecium bursaria Chlorella virus A1, .  , .  , .  , .  , .  , .  , .  
Paramecium bursaria Chlorella virus AP110A, .  , .  , .  , .  , .  , .  , .  
Paramecium bursaria Chlorella virus AR158, .  , .  , .  , .  , .  , .  , .  
Paramecium bursaria Chlorella virus CVB-1, .  , .  , .  , .  , .  , .  , .  
Paramecium bursaria Chlorella virus CvsA1, .  , .  , .  , .  , .  , .  , .  
